times,energy_gauss_wide,energy_gauss_narrow,energy_step
0.0, 0.0, 0.0, 0.0
0.0395, 1.6647645239373353e-12, 2.1440114933026457e-39, 0.0
0.079, 1.7652270595570998e-11, 5.40864017613023e-39, 0.0
0.1185, 7.318466974979217e-11, 8.673268858957817e-39, 0.0
0.158, 2.063556058805644e-10, 8.424702023313027e-34, 0.0
0.1975, 4.489460324321592e-10, 4.595394060006009e-33, 0.0
0.237, 8.260906785703378e-10, 8.348317917680716e-33, 0.0
0.2765, 1.349367598090181e-09, 1.21012417753554e-32, 0.0
0.316, 2.002481765815008e-09, 1.5854165633030085e-32, 0.0
0.3555, 2.7468850746169673e-09, 1.960708949070477e-32, 0.0
0.395, 3.523274102797029e-09, 2.3360013348379476e-32, 0.0
0.4345, 4.2618723268878915e-09, 2.711293720605416e-32, 0.0
0.474, 4.891058877478962e-09, 3.0865861063728867e-32, 0.0
0.5135, 5.358541915624301e-09, 3.461878492140355e-32, 0.0
0.553, 5.642174376481586e-09, 3.837170877907826e-32, 0.0
0.5925, 5.7499491289943585e-09, 4.2124632636752954e-32, 0.0
0.632, 5.740115000724276e-09, 4.587755649442765e-32, 0.0
0.6715, 5.693597628373896e-09, 4.963048035210233e-32, 0.0
0.711, 5.744194683884581e-09, 5.338340420977703e-32, 0.0
0.7505000000000001, 6.021027774379571e-09, 5.713632806745174e-32, 0.0
0.79, 6.636391955301802e-09, 6.088925192512643e-32, 0.0
0.8295, 7.663836166582802e-09, 6.464217578280112e-32, 0.0
0.869, 9.120333109082005e-09, 6.839509964047581e-32, 0.0
0.9085, 1.0957574571282355e-08, 7.214802349815051e-32, 0.0
0.948, 1.3062320929309991e-08, 7.590094735582519e-32, 0.0
0.9875, 1.5272459390407058e-08, 7.96538712134999e-32, 0.0
1.027, 1.7399701538355345e-08, 8.340679507117458e-32, 0.0
1.0665, 1.9259385635168793e-08, 8.715971892884929e-32, 0.0
1.106, 2.070248662262186e-08, 9.0912642786524e-32, 0.0
1.1455, 2.1643397097895176e-08, 9.466556664419866e-32, 0.0
1.185, 2.2079401873575086e-08, 9.841849050187336e-32, 0.0
1.2245, 2.2097246890797355e-08, 1.0217141435954805e-31, 0.0
1.264, 2.1865046395895807e-08, 1.0592433821722276e-31, 0.0
1.3035, 2.1610065426755727e-08, 1.0967726207489746e-31, 0.0
1.343, 2.1584888279895624e-08, 1.1343018593257215e-31, 0.0
1.3825, 2.2027227288046476e-08, 1.1718310979024685e-31, 0.0
1.422, 2.3119722632768957e-08, 1.2093603364792152e-31, 0.0
1.4615, 2.4956377053424158e-08, 1.2468895750559622e-31, 0.0
1.5010000000000001, 2.752164829036151e-08, 1.2844188136327093e-31, 0.0
1.5405, 3.068639797426555e-08, 6.702201702379706e-30, 0.0
1.58, 3.4222281617828684e-08, 1.399066393710097e-29, 0.0
1.6195, 3.783326359740455e-08, 2.1279126171821875e-29, 0.0
1.659, 4.1199926596312685e-08, 2.856758840654314e-29, 0.0
1.6985000000000001, 4.4029946185915e-08, 3.5856050641264044e-29, 0.0
1.738, 4.610677602136993e-08, 4.314451287598495e-29, 0.0
1.7775, 4.7328471999813855e-08, 5.0432975110706213e-29, 0.0
1.817, 4.7729824800035385e-08, 5.772143734542712e-29, 0.0
1.8565, 4.748338832716649e-08, 6.500989958014838e-29, 0.0
1.896, 4.6878244997225994e-08, 7.229836181486965e-29, 0.0
1.9355, 4.627893455496964e-08, 7.958682404959055e-29, 0.0
1.975, 4.607031782821091e-08, 8.687528628431146e-29, 0.0
2.0145, 4.6596688725738554e-08, 9.416374851903272e-29, 0.0
2.054, 4.810473974528077e-08, 1.0145221075375362e-28, 0.0
2.0935, 5.0699759036189195e-08, 1.0874067298847489e-28, 0.0
2.133, 5.4322691036078283e-08, 1.160291352231958e-28, 0.0
2.1725, 5.8752612422523915e-08, 1.233175974579167e-28, 0.0
2.212, 6.363525269667143e-08, 1.3060605969263832e-28, 0.0
2.2515, 6.853400858244762e-08, 1.3789452192735923e-28, 0.0
2.291, 7.299613556555837e-08, 1.4518298416208013e-28, 0.0
2.3305000000000002, 7.66240773268175e-08, 1.524714463968014e-28, 0.0
2.37, 7.914069399591163e-08, 1.5975990863152266e-28, 0.0
2.4095, 8.043771495223881e-08, 1.670483708662432e-28, 0.0
2.449, 8.05990527655408e-08, 1.7433683310096447e-28, 0.0
2.4885, 7.989434891142801e-08, 1.8162529533568573e-28, 0.0
2.528, 7.874273024831618e-08, 1.8891375757040664e-28, 0.0
2.5675, 7.765152456363968e-08, 1.9620221980512754e-28, 0.0
2.607, 7.713885049611684e-08, 2.034906820398488e-28, 0.0
2.6465, 7.765187288149207e-08, 2.107791442745697e-28, 0.0
2.686, 7.949359545075278e-08, 2.1806760650929098e-28, 0.0
2.7255, 8.277011765466703e-08, 2.2535606874401224e-28, 0.0
2.765, 8.736740055895642e-08, 2.3264453097873315e-28, 0.0
2.8045, 9.296216928851386e-08, 2.399329932134544e-28, 0.0
2.844, 9.906628716014735e-08, 2.472214554481753e-28, 0.0
2.8835, 1.0509858969580072e-07, 2.545099176828962e-28, 0.0
2.923, 1.104736182197951e-07, 2.617983799176175e-28, 0.0
2.9625, 1.1469369259341047e-07, 2.690868421523384e-28, 0.0
3.0020000000000002, 1.174298343863195e-07, 2.7637530438706e-28, 0.0
3.0415, 1.1857840249718576e-07, 2.8366376662178056e-28, 0.0
3.081, 1.1828378166127549e-07, 2.909522288565018e-28, 0.0
3.1205, 1.1692257532707526e-07, 2.9824069109122273e-28, 0.0
3.16, 1.1505072905506744e-07, 3.05529153325944e-28, 0.0
3.1995, 1.133209216119904e-07, 3.128176155606649e-28, 0.0
3.239, 1.1238246665204994e-07, 3.2010607779538616e-28, 0.0
3.2785, 1.1277906214909804e-07, 3.2739454003010742e-28, 0.0
3.318, 1.1486046894447703e-07, 3.3468300226482797e-28, 0.0
3.3575, 1.1872241539311843e-07, 3.419714644995496e-28, 0.0
3.3970000000000002, 1.2418493104109477e-07, 3.492599267342705e-28, 0.0
3.4365, 1.3081350015237954e-07, 3.565483889689914e-28, 0.0
3.476, 1.3798077449384652e-07, 3.6383685120371267e-28, 0.0
3.5155, 1.4496012697321007e-07, 3.7112531343843357e-28, 0.0
3.555, 1.5103709200294333e-07, 3.7841377567315448e-28, 0.0
3.5945, 1.5562158167659417e-07, 3.8570223790787574e-28, 0.0
3.634, 1.5834323813476368e-07, 3.92990700142597e-28, 0.0
3.6735, 1.5911452644429245e-07, 4.002791623773179e-28, 0.0
3.713, 1.581508979173937e-07, 4.075676246120392e-28, 0.0
3.7525, 1.5594387059385622e-07, 4.148560868467601e-28, 0.0
3.792, 1.5319019229010232e-07, 4.22144549081481e-28, 0.0
3.8315, 1.5068723420367151e-07, 4.2943301131620225e-28, 0.0
3.871, 1.4921029991697867e-07, 4.367214735509235e-28, 0.0
3.9105, 1.493907207217258e-07, 4.440099357856441e-28, 0.0
3.95, 1.5161389058649572e-07, 4.512983980203653e-28, 0.0
3.9895, 1.559536668814364e-07, 4.585868602550866e-28, 0.0
4.029, 1.6215419317875614e-07, 4.658753224898075e-28, 0.0
4.0685, 1.6966297972766327e-07, 4.7316378472452875e-28, 0.0
4.108, 1.7771110532537922e-07, 4.8045224695925e-28, 0.0
4.1475, 1.8542892163413478e-07, 4.877407091939713e-28, 0.0
4.187, 1.9197983538004276e-07, 4.950291714286922e-28, 0.0
4.2265, 1.9669156215972246e-07, 5.023176336634131e-28, 0.0
4.266, 1.9916423953329522e-07, 5.0960609589813435e-28, 0.0
4.3055, 1.9933801879740634e-07, 5.168945581328553e-28, 0.0
4.345, 1.9750877768930372e-07, 5.241830203675762e-28, 0.0
4.3845, 1.9428851586388132e-07, 5.314714826022971e-28, 0.0
4.424, 1.905156017633422e-07, 5.387599448370183e-28, 0.0
4.4635, 1.8712799364133632e-07, 5.460484070717392e-28, 0.0
4.503, 1.8501859754363542e-07, 5.533368693064609e-28, 0.0
4.5425, 1.8489506796117802e-07, 5.606253315411818e-28, 0.0
4.582, 1.8716605770808372e-07, 5.679137937759027e-28, 0.0
4.6215, 1.9187216889422932e-07, 5.752022560106239e-28, 0.0
4.6610000000000005, 1.9867317600837067e-07, 5.824907182453452e-28, 0.0
4.7005, 2.0689448323831844e-07, 5.8977918048006575e-28, 0.0
4.74, 2.1562655909600887e-07, 5.97067642714787e-28, 0.0
4.7795, 2.2386269792207e-07, 6.043561049495079e-28, 0.0
4.819, 2.3065421977635085e-07, 6.116445671842288e-28, 0.0
4.8585, 2.3525915086246437e-07, 6.189330294189501e-28, 0.0
4.898, 2.3726105837635635e-07, 6.2622149165367135e-28, 0.0
4.9375, 2.3663900671379318e-07, 6.3350995388839225e-28, 0.0
4.977, 2.3377694157820487e-07, 6.407984161231135e-28, 0.0
5.0165, 2.2941009253781447e-07, 6.480868783578348e-28, 0.0
5.056, 2.245157889607941e-07, 6.55375340592556e-28, 0.0
5.0955, 2.2016488164485945e-07, 6.6266380282727695e-28, 0.0
5.135, 2.1735636031258836e-07, 6.6995226506199785e-28, 0.0
5.1745, 2.168607181738715e-07, 6.772407272967188e-28, 0.0
5.214, 2.190966248784998e-07, 6.8452918953144e-28, 0.0
5.2535, 2.2406062572720243e-07, 6.918176517661609e-28, 0.0
5.293, 2.3132159027945357e-07, 6.991061140008818e-28, 0.0
5.3325000000000005, 2.4008169324148064e-07, 7.063945762356031e-28, 0.0
5.372, 2.4929535206969267e-07, 7.136830384703244e-28, 0.0
5.4115, 2.578283830751876e-07, 7.209715007050456e-28, 0.0
5.451, 2.646331199860087e-07, 7.282599629397665e-28, 0.0
5.4905, 2.6891242069247604e-07, 7.355484251744874e-28, 0.0
5.53, 2.702468593497275e-07, 7.428368874092091e-28, 0.0
5.5695, 2.6866480328761054e-07, 7.501253496439296e-28, 0.0
5.609, 2.6464371586608647e-07, 7.574138118786505e-28, 0.0
5.6485, 2.590415992680789e-07, 7.647022741133721e-28, 0.0
