Ewide,,Enarrow,,Estep,,Delta,F,U
1.0589436833305956e-06,0,2.376690568644808e-23,0,1.3948315418982409e-06,0,0.01,0.01,0.005
8.459721246207166e-07,0,2.375037756514145e-23,0,1.9777635125962914e-06,0,0.1,0.01,0.005
7.511808066312325e-10,0,1.0388682320229873e-23,0,1.6557286545455624e-08,0,1,0.01,0.005
5.035995811532855e-13,0,1.1179497764127608e-25,0,1.3523895676218007e-10,0,10,0.01,0.005
4.3256447741231285e-05,0,1.1164429050209074e-21,0,0.00013323626106757702,0,0.01,0.1,0.005
8.414964326773777e-05,0,1.1156748389377333e-21,0,0.00019870221825568816,0,0.1,0.1,0.005
8.20816266071643e-08,0,6.987548243486461e-22,0,1.6921364215390341e-06,0,1,0.1,0.005
3.1415891409215974e-11,0,1.897521732916063e-21,0,1.372988688910076e-08,0,10,0.1,0.005
0.004320298639936046,0,8.495793848129511e-20,0,0.013280684054017064,0,0.01,1,0.005
0.008416521553499368,0,9.306548214591201e-20,0,0.019839625456125734,0,0.1,1,0.005
7.90008898844727e-06,0,1.7019179025707655e-20,0,0.00016892056614081248,0,1,1,0.005
3.2151978435637444e-09,0,6.381113637277636e-09,0,1.386029620340555e-06,0,10,1,0.005
0.4337928127536385,0,6.974073815393004,0,1.321907725220257,0,0.01,10,0.005
0.8918661001200634,0,8.924957201665897,0,2.058419651741824,0,0.1,10,0.005
0.0007882869169530532,0,0.007393933200558839,0,0.01687637941132151,0,1,10,0.005
3.2252391913751197e-07,0,6.414157951912845e-07,0,0.00013843967278571507,0,10,10,0.005
